TenCoSo,SoGiayPhep,DiaChi,NgayCap,TinhTrang,TenHinhThuc,SoCCHN_NDD
Phòng khám chuyên khoa Răng Hàm Mặt ,00347/SYT-GPHĐ,"02 Lạc Long Quân, Phường 3, Quận 11, TP Hồ Chí Minh",2013-09-30 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000402/BTR-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt ,00108/SYT-GPHĐ,"170 Cao Đạt, Phường 1, Quận 5, TP Hồ Chí Minh",2016-07-14 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000408/HCM-CCHN
Phòng khám Nội tổng hợp,03927/SYT-GPHĐ,"3 Đường 176, KP 6, Phường Phước Long A, Quận 9, TP Hồ Chí Minh",2014-10-31 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,0004085/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,02819/SYT-GPHĐ,"70 Hữu Nghị, KP 3, Phường Bình Thọ, Quận Thủ Đức, TP Hồ Chí Minh",2014-05-30 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000414/HCM-CCHN
Phòng khám đa khoa thuộc Phòng khám đa khoa quốc tế Vinmec Sài Gòn - Chi nhánh Công ty Cổ phần Bệnh viện đa khoa Quốc tế Vinmec,02755/HCM-GPHĐ,"2-2Bis Trần Cao Vân, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",2015-03-04 0:00:00,Đang hoạt động,Phòng khám đa khoa,002851/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,04556/SYT-GPHĐ,"39/8 Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, TP Hồ Chí Minh",2015-05-28 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0005954/HCM-CCHN
Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Quốc tế,00007/SYT-GPHĐ,"221 Nguyễn Thị Minh Khai, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",2012-11-30 0:00:00,Đang hoạt động,Phòng khám đa khoa,000597/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt thuộc Công ty TNHH Nha khoa Thế Kỷ,00148/SYT-GPHĐ,"29 Nguyễn Trãi, Phường Bến Thành, Quận 1, TP Hồ Chí Minh",2014-09-23 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000452/HCM-CCHN
Phòng khám chuyên khoa Ngoại,02779/SYT-GPHĐ,"96 Nguyễn Biểu, Phường 1, Quận 5, TP Hồ Chí Minh",2014-05-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Ngoại,000453/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt thuộc Công ty TNHH Nha khoa Hai Ngàn,02002/SYT-GPHĐ,"99 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, TP Hồ Chí Minh",2014-03-19 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000454/HCM-CCHN
Phòng khám chuyên khoa Tai Mũi Họng,05003/SYT-GPHĐ,"90/88E Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",2015-12-02 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000423/HCM-CCHN
Phòng khám chuyên khoa Ngoại,01500/SYT-GPHĐ,"35 Thành Mỹ, Phường 8, Quận Tân Bình, TP Hồ Chí Minh",2014-10-23 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Ngoại,000441/HCM-CCHN
PHÒNG KHÁM NỘI TỔNG HỢP ,00802/SYT-GPHĐ,"C9 Chu Văn An, Phường 12, Quận Bình Thạnh, TP Hồ Chí Minh",2013-12-06 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000446/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,04857/SYT-GPHĐ,"240 Tạ Quang Bửu, Phường 4, Quận 8, TP Hồ Chí Minh",2015-09-28 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0004489/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01622/SYT-GPHĐ,"279 Lê Quang Định, Phường 7, Quận Bình Thạnh, TP Hồ Chí Minh",2014-02-20 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000599/HCM-CCHN
PHÒNG KHÁM CHUYÊN KHOA NGOẠI,3970,"289/19 Nguyễn Tiểu La, Phường 8, Quận 10, TP Hồ Chí Minh",2014-11-10 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Ngoại,0006014/BYT-CCHN
Phòng khám nội tổng hợp,05028/SYT-GPHĐ,"18/19 Trần Quang Diệu, Phường 14, Quận 3, TP Hồ Chí Minh",2015-12-08 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,0006017/BYT-CCHN
Phòng chẩn trị y học cổ truyền,02416/SYT-GPHĐ,"5/99/13 Nơ Trang Long, Phường 7, Quận Bình Thạnh, TP Hồ Chí Minh",2014-05-05 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000603/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00905/SYT-GPHĐ,"348 Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, TP Hồ Chí Minh",2013-12-09 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000457/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00668/SYT-GPHĐ,"566 Lê Quang Sung, Phường 9, Quận 6, TP Hồ Chí Minh",2013-11-13 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000462/BYT-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00941/SYT-GPHD-,"351/16 Lê Đại Hành, Phường 11, Quận 11, TP Hồ Chí Minh",2013-12-10 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000463/BYT-CCHN
Phòng khám chuyên khoa Mắt,00356/SYT-GPHĐ,"96 Phan Văn Hân, Phường 17, Quận Bình Thạnh, TP Hồ Chí Minh",2013-09-30 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Mắt,000463/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,04374/SYT-GPHĐ,"232/17 Lý Thường Kiệt, Phường 14, Quận 10, TP Hồ Chí Minh",2015-04-01 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0004556/HCM-CCHN
Chi nhánh Công ty TNHH Tư vấn - Thương mại - Dịch vụ Tân Hoàn Mỹ - Nha khoa Tân Hoàn Mỹ,01246/SYT-GPHĐ,"301 Hồng Bàng, Phường 11, Quận 5, TP Hồ Chí Minh",2013-12-17 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000458/HCM-CCHN
PHÒNG KHÁM CHUYÊN KHOA SẢN PHỤ KHOA ,03473/SYT-GPHĐ,"197 Phạm Ngũ Lão, Phường 4, Quận Gò Vấp, TP Hồ Chí Minh",2014-09-22 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000461/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00191/SYT-GPHĐ,"107 Bàn Cờ, Phường 3, Quận 3, TP Hồ Chí Minh",2013-07-09 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000607/BYT-CCHN
Phòng khám chuyên khoa Phẫu thuật thẩm mỹ,00215/SYT-GPHĐ,"273 Lý Thái Tổ, Phường 9, Quận 10, TP Hồ Chí Minh",2013-08-07 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Phẫu thuật thẩm mỹ,000608/BYT-CCHN
Phòng chẩn trị y học cổ truyền,01217/SYT-GPHĐ,"1A192 Ấp 1, Xã Phạm Văn Hai, Huyện Bình Chánh, TP Hồ Chí Minh",2014-01-22 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000610/HCM-CCHN
Phòng khám chuyên khoa Mắt,05023/SYT-GPHĐ,"59 Phó Cơ Điều, Phường 12, Quận 5, TP Hồ Chí Minh",2015-12-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Mắt,0006150/BYT-CCHN
Phòng khám chuyên khoa Da liễu ,04395/SYT-GPHĐ,"516 Đường Ba Tháng Hai, Phường 14, Quận 10, TP Hồ Chí Minh",2015-04-09 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Da liễu,000464/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00871/SYT-GPHĐ,"151 Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP Hồ Chí Minh",2013-12-06 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000475/BYT-CCHN
Phòng khám chuyên khoa Tai Mũi Họng,01496/SYT-GPHĐ,"K1/17 Chợ Bàu Cát, Phường 14, Quận Tân Bình, TP Hồ Chí Minh",2014-05-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000475/HCM-CCHN
Phòng khám Nội tổng hợp,00730/SYT-GPHĐ,"151 Bis Lũy Bán Bích, Phường Tân Thới Hòa, Quận Tân Phú, TP Hồ Chí Minh",2013-12-06 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000466/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt ,01712/SYT-GPHĐ,"1176 Cách Mạng Tháng Tám, Phường 4, Quận Tân Bình, TP Hồ Chí Minh",2015-02-10 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000473/BYT-CCHN
Phòng chẩn trị Y học cổ truyền,02567/SYT-GPHĐ,"275 Nguyễn Chí Thanh, Phường 12, Quận 5, TP Hồ Chí Minh",2014-05-06 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000474/HCM-CCHN
None,01120/SYT-GPHĐ,"154/55 Lê Quốc Hưng, Phường 12, Quận 4, TP.Hồ Chí Minh",2013-12-16 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000618/HCM-CCHN
Phòng khám chuyên khoa Phục hồi chức năng,2487,"20 Chu Văn An, Phường Tân Thành, Quận Tân Phú, TP Hồ Chí Minh",2015-10-29 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Phục hồi chức năng,0006189/BYT-CCHN
None,02862/SYT-GPHĐ,"8B Lương Định Của, P.Bình Khánh, Quận 2, TP.Hồ Chí Minh",2014-05-30 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,0006193/BYT-CCHN
Phòng khám Chẩn đoán hình ảnh,02402/SYT-GPHĐ,"580 Nguyễn Chí Thanh, Phường 7, Quận 11, TP Hồ Chí Minh",2014-04-22 0:00:00,Đang hoạt động,Phòng khám Chẩn đoán hình ảnh,0006257/BYT-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01209/SYT-GPHĐ,"29 Trần Khắc Chân, Phường Tân Định, Quận 1, TP Hồ Chí Minh",2013-12-20 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000477/BYT-CCHN
Phòng khám Nội tổng hợp,01151/SYT-GPHĐ,"18/1 Tổ 6 Khu phố 7, Phường An Phú Đông, Quận 12, TP Hồ Chí Minh",2013-12-17 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000478/HCM-CCHN
Phòng chẩn trị y học cổ truyền,01747/SYT-GPHĐ,"202 Bình Lợi, Phường 13, Quận Bình Thạnh, TP Hồ Chí Minh",2014-03-19 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000487/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01125/SYT-GPHĐ,"10 Đường D1, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh",2013-12-16 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000476/BYT-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt thuộc Chi nhánh Công ty TNHH Bệnh viện đa khoa Vạn Hạnh,00029/SYT-GPHĐ,"207 Điện Biên Phủ, Phường 6, Quận 3, TP Hồ Chí Minh",2013-01-29 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000477/HCM-CCHN
Phòng khám Nội tổng hợp,00539/SYT-GPHĐ,"47 Bà Triệu, Khu phố 1, T.T.Hốc Môn  , Huyện Hóc Môn, TP Hồ Chí Minh",2013-10-31 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000490/HCM-CCHN
Phòng khám chuyên khoa Nội tổng hợp,00054/SYT-GPHĐ,"410 Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, TP Hồ Chí Minh",2013-04-03 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000494/HCM-CCHN
Phòng khám Nội tổng hợp,00283/SYT-GPHĐ,"032 Lô C Chung cư Ấn Quang, Phường 9, Quận 10, TP Hồ Chí Minh",2013-08-29 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000627/HCM-CCHN
Phòng khám chuyên khoa Ngoại,04859/SYT-GPHĐ,"Số 2 Trần Tử Bình, tổ 5, ấp Tân Định, Xã Tân Thông Hội, Huyện Củ Chi, TP Hồ Chí Minh",2015-09-28 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Ngoại thần kinh,000628/HCM-CCHN
Phòng khám Nội tổng hợp,02891/SYT-GPHĐ,"342 Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, TP Hồ Chí Minh",2014-05-30 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,0006289/BYT-CCHN
Phòng khám Nội tổng hợp,00861/SYT-GPHĐ,"Số 640 Quốc lộ 22 Tổ 4, Khu phố 2, T.T.Củ Chi , Huyện Củ Chi, TP Hồ Chí Minh",2013-12-06 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000630/HCM-CCHN
Phòng khám Nội tổng hợp ,00694/SYT-GPHĐ,"143/36/8 Liên khu 5-6, KP10, Phường Bình Hưng Hòa B , Quận Bình Tân, TP Hồ Chí Minh",2013-11-25 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000502/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00446/SYT-GPHĐ,"3/38 Thích Quảng Đức, Phường 3, Quận Phú Nhuận, TP Hồ Chí Minh",2013-10-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000503/HCM-CCHN
Phòng khám chuyên khoa Nhi,01114/SYT-GPHĐ,"86 Minh Phụng, Phường 5, Quận 6, TP Hồ Chí Minh",2013-12-16 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Nhi,000504/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,04433/SYT-GPHĐ,"B99 Tổ 12, Khu phố 3A, Phường Đông Hưng Thuận, Quận 12, TP Hồ Chí Minh",2015-04-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0005048/HCM-CCHN
Phòng Chẩn trị Y học cổ truyền ,02415/SYT-GPHĐ,"157 Đường 61, KP 1, Phường Phước Long B, Quận 9, TP Hồ Chí Minh",2014-04-22 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000495/HCM-CCHN
Phòng khám chuyên khoa sản phụ khoa,04521/SYT-GPHĐ,"291 Hòa Hảo, Phường 4, Quận 10, TP Hồ Chí Minh",2015-05-22 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0005045/HCM-CCHN
Phòng khám chuyên khoa Mắt,04667/SYT-GPHĐ,"163/14/7 Tô Hiến Thành, Phường 13, Quận 10, TP Hồ Chí Minh",2015-07-13 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Mắt,000505/HCM-CCHN
Phòng khám chuyên khoa Da liễu ,00318/SYT-GPHĐ,"446 Gia Phú, Phường 3, Quận 6, TP Hồ Chí Minh",2013-09-09 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Da liễu,000631/HCM-CCHN
Phòng khám chuyên khoa Sản Phụ khoa ,01968/SYT-GPHĐ,"18 (số cũ: 14) Hoàng Diệu, Phường 10, Quận Phú Nhuận, TP Hồ Chí Minh",2014-03-24 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000636/HCM-CCHN
Phòng khám Nội tổng hợp,04916/SYT-GPHĐ,"220/65 Âu Cơ, Phường 9, Quận Tân Bình, TP Hồ Chí Minh",2015-10-20 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000637/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01848/SYT-GPHĐ,"294 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, TP Hồ Chí Minh",2014-03-18 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000638/HCM-CCHN
PHÒNG CHẨN TRỊ Y HỌC CỔ TRUYỀN ,01224/SYT-GPHĐ,"429 Vĩnh Viễn, Phường 6, Quận 10, TP Hồ Chí Minh",2014-01-22 0:00:00,Đang hoạt động,Phòng chẩn trị y học cổ truyền,000506/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01660/SYT-GPHĐ,"97 Hậu Giang, Phường 5, Quận 6, TP Hồ Chí Minh",2014-02-20 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000519/HCM-CCHN
Phòng khám chuyên khoa Nhi,04900/SYT-GPHĐ,"A30/16 Quốc lộ 50, Xã Bình Hưng, Huyện Bình Chánh, TP Hồ Chí Minh",2015-10-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Nhi,000522/TTH-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00497/SYT-GPHĐ,"174 Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP Hồ Chí Minh",2013-10-23 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000523/HCM-CCHN
Phòng khám đa khoa Công ty TNHH Thương mại Dịch vụ Y tế Đức Thành,3261,"231 Quốc lộ 1K, Khu phố 5, Phường Linh Xuân, Quận Thủ Đức, TP Hồ Chí Minh",2014-07-28 0:00:00,Đang hoạt động,Phòng khám đa khoa,000515/HCM-CCHN
Phòng khám Nội tổng hợp,02909/SYT-GPHĐ,"82/18 Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, TP Hồ Chí Minh",2014-06-09 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000518/HCM-CCHN
phòng khám nội tổng hợp ,04200/SYT-GPHĐ,"484 Quốc lộ 13, KP 6, Phường Hiệp Bình Phước, Quận Thủ Đức, TP Hồ Chí Minh",2015-01-14 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000522/BTH-CCHN
Phòng khám chuyên khoa Sản phụ khoa,00484/SYT-GPHĐ,"533 Lê Văn Quới, Khu phố 6, Phường Bình Trị Đông A, Quận Bình Tân, TP Hồ Chí Minh",2013-10-23 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000532/HCM-CCHN
PHÒNG KHÁM NỘI TỔNG HỢP ,00173/SYT-GPHĐ,"3/41 Thích Quảng Đức, Phường 3, Quận Phú Nhuận, TP Hồ Chí Minh",2013-07-09 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000640/HCM-CCHN
Phòng khám đa khoa thuộc Công ty TNHH Dịch vụ Chăm sóc sức khỏe Song An,1312,"510 Nguyễn Đình Chiểu, Phường 4, Quận 3, TP Hồ Chí Minh",2013-12-17 0:00:00,Đang hoạt động,Phòng khám đa khoa,000644/HCM-CCHN
Phòng khám chuyên khoa Chấn thương chỉnh hình,02685/SYT-GPHĐ,"41 Ngụy Như Kon Tum (số cũ: 19/39 Thạch Lam), Phường Hiệp Tân, Quận Tân Phú, TP Hồ Chí Minh",2014-05-06 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Chấn thương chỉnh hình ,000657/HCM-CCHN
 Phòng khám chuyên khoa Răng Hàm Mặt ,03640/SYT-GPHĐ,"172 Nguyễn Tri Phương, Phường 9, Quận 5, TP Hồ Chí Minh",2014-10-27 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000525/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,02294/SYT-GPHĐ,"110 Nghĩa Thục, Phường 5, Quận 5, TP Hồ Chí Minh",2014-04-22 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000542/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00331/SYT-GPHĐ,"195 Lãnh Binh Thăng, Phường 12, Quận 11, TP Hồ Chí Minh",2013-09-20 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000555/HCM-CCHN
Phòng khám Chẩn đoán hình ảnh ( thuộc Công ty TNHH Một thành viên SamSun RC),04526/SYT-GPHĐ,"112 Trần Quang Khải, Phường Tân Định, Quận 1, TP Hồ Chí Minh",2015-05-28 0:00:00,Đang hoạt động,Phòng khám Chẩn đoán hình ảnh,000537/HCM-CCHN
PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT ,00204/SYT-GPHĐ,"150A Lạc Long Quân, Phường 10, Quận 11, TP Hồ Chí Minh",2013-07-24 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000541/HCM-CCHN
Phòng Khám chuyên khoa Nhi,04976/SYT-GPHĐ,"B.1.6 Khu cao ốc Phú Hoàng Anh, Nguyễn Hữu Thọ, Ấp 5, Xã Phước Kiểng, Huyện Nhà Bè, TP Hồ Chí Minh",2015-11-12 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Nhi,000543/HNO-CCHN
Phòng khám chuyên khoa Da liễu,01128/SYT-GPHĐ,"6/15 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",2013-12-16 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Da liễu,000548/BYT-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,02454/SYT-GPHĐ,"905 Quốc lộ 22, Tổ 1, Ấp Bàu Tre 1, Xã Tân An Hội, Huyện Củ Chi, TP Hồ Chí Minh",2014-04-24 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000665/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,01319/SYT-GPHĐ,"264 Nguyễn Tri Phương, Phường 4, Quận 10, TP Hồ Chí Minh",2015-07-03 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000668/HCM-CCHN
Phòng khám chuyên khoa Tai Mũi Họng ,01291/SYT-GPHĐ,"40 Lê Đình Cẩn, KP9, Phường Bình Trị Đông A, Quận Bình Tân, TP Hồ Chí Minh",2014-02-12 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000670/HCM-CCHN
Phòng khám chuyên khoa Da liễu (thuộc Công ty TNHH Quốc Tế Sắc Việt),04969/SYT-GPHĐ,"235 Lý Chính Thắng, Phường 7, Quận 3, TP Hồ Chí Minh",2015-11-11 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Da liễu,000558/BYT-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00904/HCM-GPHĐ,"40 Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh",2017-08-04 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000561/HCM-CCHN
Phòng khám chuyên khoa Tai Mũi Họng,01566/SYT-GPHĐ,"491/32 Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, TP Hồ Chí Minh",2014-02-13 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000567/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00614/SYT-GPHĐ,"280 Lạc Long Quân, Phường 10, Quận 11, TP Hồ Chí Minh",2014-11-25 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000568/HCM-CCHN
Phòng khám Nội tổng hợp thuộc Công ty TNHH Thiện Nga,02599/SYT-GPHĐ,"26 Bác Ái, KP 3, Phường Bình Thọ, Quận Thủ Đức, TP Hồ Chí Minh",2014-05-08 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000548/HCM-CCHN
Phòng khám Nội tổng hợp,02168/SYT-GPHĐ,"321 Đoàn Văn Bơ, Phường 13, Quận 4, TP Hồ Chí Minh",2014-04-17 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000560/HCM-CCHN
Phòng khám chuyên khoa Sản phụ khoa,04738/SYT-GPHĐ,"36B An Dương Vương, Phường 16, Quận 8, TP Hồ Chí Minh",2015-08-12 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,0005644/HCM-CCHN
Phòng khám chuyên khoa Ngoại (Chấn thương chỉnh hình),02129/SYT-GPHĐ,"47/31 Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, TP Hồ Chí Minh",2014-04-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Chấn thương chỉnh hình ,000672/HCM-CCHN
phòng khám nội tổng hợp ,04146/SYT-GPHĐ,"139 Thành Thái, Phường 14, Quận 10, TP Hồ Chí Minh",2014-12-19 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000673/HCM-CCHN
Phòng khám đa khoa Công ty TNHH Phòng khám đa khoa Ân Bình,3875,"32-34 Nguyễn Thị Tú, Phường Bình Hưng Hòa B , Quận Bình Tân, TP Hồ Chí Minh",2014-10-27 0:00:00,Đang hoạt động,Phòng khám đa khoa,000674/BĐ-CCHN
Phòng khám chuyên khoa Ngoại (Chấn thương chỉnh hình),02538/SYT-GPHĐ,"441A Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh",2014-05-05 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Chấn thương chỉnh hình ,000572/HCM-CCHN
PHÒNG KHÁM CHUYÊN KHOA SẢN PHỤ KHOA,02758/SYT-GPHĐ,"506/7 Đường 3-2, Phường 14, Quận 10, TP Hồ Chí Minh",2014-05-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000586/HCM-CCHN
PHÒNG KHÁM NỘI TỔNG HỢP,00166/SYT-GPHĐ,"456 Quang Trung, Phường 10, Quận Gò Vấp, TP Hồ Chí Minh",2013-07-09 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000587/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00616/SYT-GPHĐ,"547A Đường 3-2, Phường 8, Quận 10, TP Hồ Chí Minh",2013-11-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000576/HCM-CCHN
Phòng khám chuyên khoa Nội tiết,02681/SYT-GPHĐ,"465 Đỗ Xuân Hợp, Khu phố 5, Phường Phước Long B, Quận 9, TP Hồ Chí Minh",2014-05-06 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Nội tiết,000589/HCM-CCHN
Phòng khám chuyên khoa Da liễu,02601/SYT-GPHĐ,"02-04 Hoa Cúc, Phường 7, Quận Phú Nhuận, TP Hồ Chí Minh",2014-05-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Da liễu,000590/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00644/SYT-GPHĐ,"001 Lô E Cư xá Thanh Đa, Phường 27, Quận Bình Thạnh, TP Hồ Chí Minh",2013-11-12 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000601/HCM-CCHN
