"TenCoSo","SoGiayPhep","DiaChi","NgayCap","TinhTrang","TenHinhThuc","SoCCHN_NDD"
"Phòng khám Nội tổng hợp ","01980/SYT-GPHĐ","539/9 Cách Mạng Tháng Tám, Phường 15, Quận 10, TP Hồ Chí Minh","2014-03-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003469/HCM-CCHN"
"Phòng khám Nội tổng hợp","03405/SYT-GPHĐ","183/13 Tân Hòa Đông, Phường 14, Quận 6, TP Hồ Chí Minh","2014-09-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003472/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng","01526/SYT-GPHĐ","Số 348/38 Cách Mạng Tháng 8, Phường 10, Quận 3, TP Hồ Chí Minh","2014-02-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","002814/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng","05041/SYT-GPHĐ","23-25 Tân Vĩnh, Phường 4, Quận 4, TP Hồ Chí Minh","2015-12-16 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","002818/HCM-CCHN"
"Trạm Y tế Phường 1 Quận 10","05170/SYT-GPHĐ","498/43 Lê Hồng Phong, Phường 1, Quận 10, TP Hồ Chí Minh","2015-12-24 00:00:00","Đang hoạt động","Trạm y tế phường xã ","002833/HCM-CCHN"
"PHÒNG CHẨN TRỊ Y HỌC CỔ TRUYỀN ","04557/SYT-GPHĐ","225/8 Nguyễn Đình Chiểu, Phường 5, Quận 3, TP Hồ Chí Minh","2015-06-04 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","0028419/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","00480/SYT-GPHĐ","399/23 Nguyễn Đình Chiểu, Phường 5, Quận 3, TP Hồ Chí Minh","2013-10-23 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003519/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","01915/SYT-GPHĐ","114 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, TP Hồ Chí Minh","2014-05-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","003524/HCM-CCHN"
"PHÒNG KHÁM NỘI TỔNG HỢP  ","01043/SYT-GPHĐ","105/759C1 Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2013-12-13 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003531/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng (thuộc Công ty TNHH Thương Mại Âu Điểu Việt Nam)","01487/SYT-GPHĐ","2F Lý Thường Kiệt, Phường 12, Quận 5, TP Hồ Chí Minh","2014-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","003547/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00466/SYT-GPHĐ","33 Bùi Đình Túy, Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh","2013-10-15 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003733/HCM-CCHN"
"Phòng khám chuyên khoa Lao và Bệnh phổi","00145","103A Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, TP Hồ Chí Minh","2013-06-25 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Lao và bệnh phổi","003740/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00359/SYT-GPHĐ","281/52/12 Lê Văn Sỹ, Phường 1, Quận Tân Bình, TP Hồ Chí Minh","2013-10-01 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003754/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03340/SYT-GPHĐ","397 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, TP Hồ Chí Minh","2014-08-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003768/HCM-CCHN"
"phòng khám nội tổng hợp ","04084/SYT-GPHĐ","355 Trần Hưng Đạo, Phường 10, Quận 5, TP Hồ Chí Minh","2014-12-10 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003586/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00455/SYT-GPHĐ","59/6 Huỳnh Tấn Phát, T.T.Nhà Bè , Huyện Nhà Bè, TP Hồ Chí Minh","2013-10-09 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003592/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01152/SYT-GPHĐ","102 Ngô Quyền, Phường 5, Quận 10, TP Hồ Chí Minh","2013-12-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003614/HCM-CCHN"
"Phòng khám chuyên khoa nội thần kinh","03090/SYT-GPHĐ","78-C4 Phạm Ngũ Lão, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2014-09-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nội thần kinh","003777/HCM-CCHN"
"Phòng khám chuyên khoa Ngoại","01509/SYT-GPHĐ","105 Phù Đổng Thiên Vương, Phường 11, Quận 5, TP Hồ Chí Minh","2014-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Ngoại","003794/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","00569/SYT-GPHĐ","73/4C Lê Văn Khương, Tổ 1, KP1, Phường Hiệp Thành, Quận 12, TP Hồ Chí Minh","2013-11-05 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003797/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02183/SYT-GPHĐ","336/3B Phan Văn Trị, Phường 11, Quận Bình Thạnh, TP Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","002864/HCM-CCHN"
"Trạm Y tế Xã An Phú Huyện Củ Chi","05126/SYT-GPHĐ","Tỉnh lộ 15 Ấp Xóm Thuốc, Xã An Phú, Huyện Củ Chi, TP Hồ Chí Minh","2015-12-18 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0028829/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","01633/SYT-GPHĐ","74/4 Đinh Tiên Hoàng, Phường 1, Quận Bình Thạnh, TP Hồ Chí Minh","2014-04-26 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","002895/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","02228/SYT-GPHĐ","151 Nguyễn Kiệm, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2014-04-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003812/HCM-CCHN"
"Chi nhánh 1 Công ty TNHH Một thành viên Nha khoa thẩm mỹ Đại Nam","00554","39-41 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP Hồ Chí Minh","2013-11-05 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003820/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","02513/SYT-GPHĐ","339I Lạc Long Quân, Phường 5, Quận 11, TP Hồ Chí Minh","2014-05-06 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003823/HCM-CCHN"
"Phòng khám Nội tổng hợp","02951/SYT-GPHĐ","296 Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, TP Hồ Chí Minh","2014-06-04 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003622/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03729/SYT-GPHĐ","690 Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh","2014-10-28 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003625/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","01239/SYT-GPHĐ","1243 (số cũ: 1219) Phan Văn Trị, Phường 10, Quận Gò Vấp, TP Hồ Chí Minh","2013-12-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","003634/HCM-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT Công ty TNHH Nha khoa TiTan","02947/SYT-GPHĐ","R54 Cư xá Vĩnh Hội, Bến Vân Đồn, Phường 8, Quận 4, TP Hồ Chí Minh","2014-06-04 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003825/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","04974","6 Đình Phong Phú, Phường Tăng Nhơn Phú B, Quận 9, TP Hồ Chí Minh","2015-11-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003827/TNG-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01632/SYT-GPHĐ","23 Đinh Bộ Lĩnh, Phường 24, Quận Bình Thạnh, TP Hồ Chí Minh","2014-02-20 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003829/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02323/SYT-GPHĐ","55A APĐ12, Tổ 38, Khu Phố 5, Phường An Phú Đông, Quận 12, TP Hồ Chí Minh","2014-04-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","002901/HCM-CCHN"
"Trạm Y tế Xã Tân Thạnh Đông Huyện Củ Chi","05121/SYT-GPHĐ","Ấp 8, Xã Tân Thạnh Đông, Huyện Củ Chi, TP Hồ Chí Minh","2015-12-18 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029064/HCM-CCHN"
"Phòng khám Nội tổng hợp","04716/SYT-GPHĐ","12 Đường số 19, Phường Tân Quy, Quận 7, TP Hồ Chí Minh","2015-07-31 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","002908/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa","03307/SYT-GPHĐ","14/8D Đặng Thúc Vịnh, Ấp Trung Đông, Xã Thới Tam Thôn , Huyện Hóc Môn, TP Hồ Chí Minh","2014-08-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","002914/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","00153/SYT-GPHĐ","228 Hòa Hảo, Phường 3, Quận 10, TP Hồ Chí Minh","2013-07-02 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003830/HCM-CCHN"
"Phòng khám đa khoa thuộc Công ty TNHH Khám chữa bệnh Nancy","01360/SYT-GPHĐ","615A Trần Hưng Đạo, Phường 1, Quận 5, TP Hồ Chí Minh","2014-01-08 00:00:00","Đang hoạt động","Phòng khám đa khoa","003837/HCM-CCHN"
"None","02086/SYT-GPHĐ","94 Lê Thị Bạch Cát, Phường 13, Quận 11, TP.Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003848/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","01397/SYT-GPHĐ","94 Đường số 1, Khu phố 3, Phường Bình Trị Đông B , Quận Bình Tân, TP Hồ Chí Minh","2014-02-11 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","003851/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","01916/SYT-GPHĐ","13 Cao Thắng, Phường 2, Quận 3, TP Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","003638/HCM-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT ","03960/SYT-GPHĐ","2/2 Đường số 8, KP 2, Phường Bình Thọ, Quận Thủ Đức, TP Hồ Chí Minh","2014-11-10 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003659/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","02326/SYT-GPHĐ","49 Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, TP Hồ Chí Minh","2014-04-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","003663/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02021/SYT-GPHĐ","349 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, TP Hồ Chí Minh","2014-11-10 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","003856/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01609/SYT-GPHĐ","363 Tân Sơn Nhì, Phường Tân Thành, Quận Tân Phú, TP Hồ Chí Minh","2014-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003877/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","01378/SYT-GPHĐ","41 An Điềm, Phường 10, Quận 5, TP Hồ Chí Minh","2014-01-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","003896/HCM-CCHN"
"Phòng khám Nội tổng hợp","03267/SYT-GPHĐ","374 Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, TP Hồ Chí Minh","2014-08-13 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","003913/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng","01004/SYT-GPHĐ","87 Thuận Kiều, Phường 4, Quận 11, TP Hồ Chí Minh","2013-12-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","003920/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03117/SYT-GPHĐ","273 Lý Thái Tổ, Phường 9, Quận 10, TP Hồ Chí Minh","2014-07-14 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003925/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","00367/SYT-GPHĐ","131B Gò Dầu, Phường Tân Quý, Quận Tân Phú, TP Hồ Chí Minh","2013-10-01 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003931/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt Thuộc Công ty TNHH Nha khoa Lê Thành Tâm","03401/SYT-GPHĐ","Số 4I Xô Viết Nghệ Tĩnh, Phường 19, Quận Bình Thạnh, TP Hồ Chí Minh","2014-09-24 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","002916/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00520/SYT-GPHĐ","82 Nguyễn Văn Nghi, Phường 5, Quận Gò Vấp, TP Hồ Chí Minh","2013-10-31 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","002918/HCM-CCHN"
"Trạm Y tế Xã Hòa Phú Huyện Củ Chi","05220/SYT-GPHĐ","351 Bến Than, Ấp 1 A, Xã Hòa Phú, Huyện Củ Chi, TP Hồ Chí Minh","2015-12-24 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029214/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","02042/SYT-GPHĐ","498 Âu Cơ, Phường 10, Quận Tân Bình, TP Hồ Chí Minh","2014-03-27 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003932/HCM-CCHN"
"Phòng khám đa khoa thuộc Công ty TNHH Dịch vụ - Kỹ thuật Đắc Phúc","04663","476 Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, TP Hồ Chí Minh","2015-07-07 00:00:00","Đang hoạt động","Phòng khám đa khoa","003955/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01326/SYT-GPHĐ","489A/1 Huỳnh Văn Bánh, Phường 13, Quận Phú Nhuận, TP Hồ Chí Minh","2014-01-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003963/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng","01003/SYT-GPHĐ","78-C18 Phạm Ngũ Lão, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2013-12-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","002923/HCM-CCHN"
"Chi nhánh Công ty Cổ phần Phát triển Y tế Victoria Healthcare-Phòng khám Nhi PMH","04811/HCM-GPHĐ","Unit 1 & Unit 2, tầng trệt, Tòa nhà Broadway D 152 Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TP Hồ Chí Minh","2015-09-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","005496/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00360/SYT-GPHĐ","766/102 Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, TP Hồ Chí Minh","2013-10-01 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","002929/HCM-CCHN"
"Trạm Y tế Phường 2 Quận 6","05116/SYT-GPHĐ","69 Phạm Đình Hổ, Phường 2, Quận 6, TP Hồ Chí Minh","2015-12-18 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029320/HCM-CCHN"
"Trạm Y tế Phường 6 Quận 11","05289/SYT-GPHĐ","144 Phó Cơ Điều, Phường 6, Quận 11, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029335/HCM-CCHN"
"CƠ SỞ DỊCH VỤ LÀM RĂNG GIẢ ","04704/SYT-GPHĐ","184/1A Âu Dương Lân, Phường 3, Quận 8, TP Hồ Chí Minh","2015-08-04 00:00:00","Đang hoạt động","Cơ sở dịch vụ làm răng giả","0029359/HCM-CCHN"
"Phòng khám Nội tổng hợp","02122/SYT-GPHĐ","135/25 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP Hồ Chí Minh","2014-04-15 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","002948/HCM-CCHN"
"Trạm Y tế Phường 5 Quận 8","05244/SYT-GPHĐ","18 Đường số 1, Khu dân cư Hiệp Ân, Phường 5, Quận 8, TP Hồ Chí Minh","2015-12-24 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029501/HCM-CCHN"
"Phòng khám chuyên khoa Ung Bướu","03551/SYT-GPHĐ","42/26 Trần Thiện Chánh, Phường 12, Quận 10, TP Hồ Chí Minh","2014-10-23 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Ung bướu","002953/BYT-CCHN"
"Trạm Y tế Phường 13 Quận Bình Thạnh","05137/SYT-GPHĐ","21 Bình Lợi, Phường 13, Quận Bình Thạnh, TP Hồ Chí Minh","2015-12-18 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029541/HCM-CCHN"
"Trạm Y tế Phường 7 Quận 11","05283/SYT-GPHĐ","166 Lê Đại Hành, Phường 7, Quận 11, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029555/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","04256/SYT-GPHĐ","153 Tôn Đản, Phường 14, Quận 4, TP Hồ Chí Minh","2015-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003966/HCM-CCHN"
"Phòng khám chuyên khoa Da liễu ","01590/SYT-GPHĐ","278/16 Tô Hiến Thành, Phường 15, Quận 10, TP Hồ Chí Minh","2014-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Da liễu","003980/HCM-CCHN"
"Phòng khám Nội thần kinh","00663/SYT-GPHĐ","97A Tân Hòa Đông, Phường 14, Quận 6, TP Hồ Chí Minh","2013-11-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nội thần kinh","003985/BYT-CCHN"
"Phòng khám Nội tổng hợp","02234/SYT-GPHĐ","44 Lê Văn Lương, Ấp 3, Xã Phước Kiểng, Huyện Nhà Bè, TP Hồ Chí Minh","2014-04-22 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","004000/HCM-CCHN"
"Trạm Y tế Phường Nguyễn Thái Bình Quận 1","05167/SYT-GPHĐ","160 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TP Hồ Chí Minh","2015-12-24 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029573/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01808/SYT-GPHĐ","98 Ông Ích Khiêm, Phường 5, Quận 11, TP Hồ Chí Minh","2014-03-18 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","002964/HCM-CCHN"
"Trạm Y tế Phường 8 Quận 5","05297/SYT-GPHĐ","282 Trần Phú, Phường 8, Quận 5, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029641/HCM-CCHN"
"Trạm Y tế Phường Long Thạnh Mỹ Quận 9","05356/SYT-GPHĐ","107 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Trạm y tế phường xã ","0029671/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01602/SYT-GPHĐ","323 Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, TP Hồ Chí Minh","2014-05-30 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","004002/HCM-CCHN"
"Phòng khám Nội tổng hợp ","02000/SYT-GPHĐ","84 Điện Biên Phủ, Phường 17, Quận Bình Thạnh, TP Hồ Chí Minh","2014-03-19 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","004018/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","02546/SYT-GPHĐ","182 Vườn Lài, Phường Tân Thành, Quận Tân Phú, TP Hồ Chí Minh","2016-09-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","004045/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","05370/SYT-GPHĐ","51 Đặng Thúc Vịnh, Ấp 7, Xã Đông Thạnh , Huyện Hóc Môn, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003667/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","00463/SYT-GPHĐ","004 Lô B2 Chung cư Phường 3, Phường 3, Quận 4, TP Hồ Chí Minh","2013-10-15 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003677/HCM-CCHN"
"Trạm Y tế Phường 5 Quận Phú Nhuận","05074/SYT-GPHĐ","80A Thích Quảng Đức, Phường 5, Quận Phú Nhuận, TP Hồ Chí Minh","2015-12-18 00:00:00","Đang hoạt động","Trạm y tế phường xã ","003700/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03635/SYT-GPHĐ","68 Hàn Hải Nguyên, Phường 8, Quận 11, TP Hồ Chí Minh","2014-10-27 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","004056/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa","01511/HCM-GPHĐ","16A đường số 25, KP5, Phường Hiệp Bình Chánh, Quận Thủ Đức, TP Hồ Chí Minh","2017-05-09 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","004057/HCM-CCHN"
"Phòng khám chuyên khoa Ngoại","02485/SYT-GPHĐ","2F Nguyễn Thị Tần, Phường 2, Quận 8, TP Hồ Chí Minh","2014-04-26 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Ngoại","004061/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02738/HCM-GPHĐ","18/18A Phan Văn Trị, Phường 2, Quận 5, TP Hồ Chí Minh","2017-02-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","004086/HCM-CCHN"
"Phòng khám chuyên khoa Ngoại nhi","02929/SYT-GPHĐ","100 Đường số 15, KP 2, Phường Tân Kiểng, Quận 7, TP Hồ Chí Minh","2014-06-09 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Ngoại nhi","004092/HCM-CCHN"
"","02362/SYT-GPHĐ","114 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, TP Hồ Chí Minh","2014-04-21 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","004100/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03447/SYT-GPHĐ","566 Lê Hồng Phong, Phường 10, Quận 10, TP Hồ Chí Minh","2014-09-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","004117/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","02034/SYT-GPHĐ","491 Trường Chinh, Phường 14, Quận Tân Bình, TP Hồ Chí Minh","2014-03-24 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003716/HCM-CCHN"
"Phòng khám chuyên khoa Nhi ","00795/SYT-GPHĐ","207 Đường 19, Phường Bình Trị Đông B , Quận Bình Tân, TP Hồ Chí Minh","2013-12-06 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","003720/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00938/SYT-GPHĐ","44 Nguyễn Huy Tự, Phường Đa Kao, Quận 1, TP Hồ Chí Minh","2013-12-10 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003721/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","04063/SYT-GPHĐ","528/5/75 Điện Biên Phủ, Phường 11, Quận 10, TP Hồ Chí Minh","2014-11-26 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","003739/HCM-CCHN"
"Phòng khám Nội tổng hợp","02450/SYT-GPHĐ","34 Đường số 11A, Phường Bình Trị Đông B , Quận Bình Tân, TP Hồ Chí Minh","2014-04-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","002971/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01104/SYT-GPHĐ","647 Phạm Thế Hiển, Phường 4, Quận 8, TP Hồ Chí Minh","2013-12-16 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","002973/HCM-CCHN"
"Phòng khám chuyên khoa Phẫu thuật thẩm mỹ thuộc Công ty TNHH Trung Tâm Thẩm Mỹ Quốc Tế Phạm Văn Đồng","05364","340 đường 3 tháng 2, Phường 12, Quận 10, TP Hồ Chí Minh","2015-12-28 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","0029741/HCM-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT Doanh nghiệp TN Nha khoa Nhật Tân","00775/SYT-GPHĐ","12 Lam Sơn Tổ 38, Khu phố 3, Phường Linh Tây, Quận Thủ Đức, TP Hồ Chí Minh","2013-12-03 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","003745/HCM-CCHN"
"Phòng khám chuyên khoa Tâm thần ","01560/SYT-GPHĐ","196/52 Vườn Lài, Phường Tân Thành, Quận Tân Phú, TP Hồ Chí Minh","2014-02-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tâm thần","003751/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","05055/HCM-GPHĐ","06 Đường số 7A - Cư xá Bình Thới, Phường 8, Quận 11, TP Hồ Chí Minh","2017-06-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","003752/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02516/SYT-GPHĐ","82 Bắc Hải, Phường 6, Quận Tân Bình, TP Hồ Chí Minh","2014-05-06 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","004123/HCM-CCHN"
